region,date,type,median,lower_90,upper_90,lower_50,upper_50,prob_control
Atsinanana,2020-05-20,nowcast,1,0.7,1.3,0.9,1.1,0.49
Atsinanana,2020-05-21,nowcast,1,0.7,1.2,0.9,1.1,0.54
Atsinanana,2020-05-22,nowcast,1,0.7,1.2,0.9,1.1,0.59
Atsinanana,2020-05-23,nowcast,1,0.7,1.2,0.9,1.1,0.6
Atsinanana,2020-05-24,nowcast,1,0.7,1.2,0.9,1,0.62
Atsinanana,2020-05-25,nowcast,0.9,0.7,1.2,0.8,1,0.65
Atsinanana,2020-05-26,nowcast,0.9,0.7,1.2,0.8,1,0.68
Atsinanana,2020-05-27,nowcast,0.9,0.7,1.2,0.9,1,0.7
Atsinanana,2020-05-28,nowcast,0.9,0.7,1.2,0.8,1,0.71
Atsinanana,2020-05-29,nowcast,0.9,0.7,1.2,0.8,1,0.69
Atsinanana,2020-05-30,nowcast,0.9,0.7,1.2,0.8,1,0.69
Atsinanana,2020-05-31,nowcast,0.9,0.7,1.2,0.8,1,0.7
Atsinanana,2020-06-01,nowcast,0.9,0.6,1.2,0.8,1,0.72
Atsinanana,2020-06-02,nowcast,0.9,0.6,1.2,0.8,1,0.77
Atsinanana,2020-06-03,nowcast,0.9,0.6,1.1,0.8,1,0.81
Atsinanana,2020-06-04,nowcast,0.8,0.5,1.1,0.7,0.9,0.86
Atsinanana,2020-06-05,nowcast,0.8,0.5,1.1,0.7,0.9,0.93
Atsinanana,2020-06-06,nowcast,0.7,0.4,1,0.6,0.9,0.96
Atsinanana,2020-06-07,nowcast,0.7,0.4,0.9,0.6,0.8,0.98
Atsinanana,2020-06-08,nowcast,0.6,0.3,0.9,0.5,0.7,0.99
Atsinanana,2020-06-09,nowcast,0.6,0.3,0.9,0.5,0.7,0.97
Atsinanana,2020-06-10,nowcast,0.6,0.3,0.9,0.5,0.7,0.97
Atsinanana,2020-06-11,nowcast,0.6,0.3,0.9,0.5,0.7,0.95
Atsinanana,2020-06-12,nowcast,0.6,0.3,1,0.5,0.7,0.93
Atsinanana,2020-06-13,nowcast,0.6,0.3,1,0.4,0.7,0.9
Atsinanana,2020-06-14,nowcast,0.7,0.3,1.1,0.5,0.8,0.89
Atsinanana,2020-06-15,nowcast,0.7,0.3,1.1,0.5,0.8,0.87
Atsinanana,2020-06-16,nowcast,0.6,0.3,1.1,0.5,0.8,0.9
Atsinanana,2020-06-17,nowcast,0.6,0.2,1,0.5,0.8,0.91
Atsinanana,2020-06-18,nowcast,0.6,0.2,1,0.4,0.7,0.93
Atsinanana,2020-06-19,nowcast,0.5,0.1,0.9,0.4,0.7,0.94
Atsinanana,2020-06-20,nowcast,0.5,0.1,0.9,0.3,0.6,0.95
Atsinanana,2020-06-21,nowcast,0.5,0.1,0.9,0.2,0.6,0.94
Atsinanana,2020-06-22,nowcast,0.5,0.1,1,0.3,0.6,0.93
Atsinanana,2020-06-23,nowcast,0.5,0,1,0.3,0.6,0.89
Atsinanana,2020-06-24,nowcast,0.5,0,1.2,0.2,0.6,0.86
Atsinanana,2020-06-25,nowcast,0.6,0,1.4,0.2,0.7,0.78
Atsinanana,2020-06-26,nowcast,0.6,0,1.6,0.2,0.8,0.74
Atsinanana,2020-06-27,nowcast,0.8,0.1,1.8,0.4,1,0.65
Atsinanana,2020-06-28,nowcast,0.9,0.1,2.1,0.3,1,0.57
Atsinanana,2020-06-29,nowcast,1,0.1,2.1,0.4,1.1,0.52
Atsinanana,2020-06-30,nowcast,1.1,0.1,2.2,0.5,1.3,0.45
Atsinanana,2020-07-01,nowcast,1.2,0.2,2.5,0.6,1.4,0.39
Atsinanana,2020-07-02,nowcast,1.2,0.2,2.4,0.6,1.4,0.37
Atsinanana,2020-07-03,nowcast,1.2,0.3,2.5,0.7,1.5,0.33
Atsinanana,2020-07-04,nowcast,1.4,0.3,2.6,0.7,1.6,0.28
Atsinanana,2020-07-05,nowcast,1.4,0.4,2.6,0.9,1.7,0.23
Atsinanana,2020-07-06,nowcast,1.5,0.5,2.8,1,1.8,0.18
Atsinanana,2020-07-07,nowcast,1.6,0.6,2.8,1.1,2,0.14
Atsinanana,2020-07-08,nowcast,1.6,0.7,2.9,1.1,1.9,0.11
Atsinanana,2020-07-09,nowcast,1.7,0.8,3,1.2,1.9,0.07
Atsinanana,2020-07-10,forecast,1.8,0.4,3.4,1.1,2.2,0.16
Atsinanana,2020-07-11,forecast,1.8,0,3.2,1,2.3,0.2
Atsinanana,2020-07-12,forecast,1.8,0,3.4,1,2.4,0.21
Atsinanana,2020-07-13,forecast,1.8,0,3.4,1,2.4,0.22
Atsinanana,2020-07-14,forecast,1.8,0,3.6,1.1,2.6,0.23
Atsinanana,2020-07-15,forecast,1.9,0,3.7,0.9,2.6,0.25
Atsinanana,2020-07-16,forecast,1.9,0,3.8,1,2.7,0.23
Atsinanana,2020-07-17,forecast,1.9,0,4,1.1,2.9,0.25
Atsinanana,2020-07-18,forecast,1.9,0,4,0,1.9,0.26
Atsinanana,2020-07-19,forecast,1.9,0,4.1,0,1.9,0.27
Atsinanana,2020-07-20,forecast,1.9,0,4.4,0,1.9,0.27
Atsinanana,2020-07-21,forecast,1.9,0,4.4,0,1.9,0.28
Atsinanana,2020-07-22,forecast,1.9,0,4.4,0,1.9,0.29
Atsinanana,2020-07-23,forecast,2,0,4.5,0,2,0.28
National,2020-03-22,nowcast,1.2,0.5,1.9,0.8,1.4,0.3
National,2020-03-23,nowcast,1.2,0.6,1.9,0.9,1.4,0.31
National,2020-03-24,nowcast,1.1,0.5,1.8,0.9,1.3,0.34
National,2020-03-25,nowcast,1.1,0.5,1.7,0.8,1.3,0.36
National,2020-03-26,nowcast,1.1,0.5,1.6,0.8,1.3,0.41
National,2020-03-27,nowcast,1,0.4,1.6,0.8,1.2,0.45
National,2020-03-28,nowcast,1,0.5,1.6,0.8,1.2,0.48
National,2020-03-29,nowcast,1,0.4,1.6,0.7,1.1,0.5
National,2020-03-30,nowcast,0.9,0.4,1.5,0.8,1.1,0.56
National,2020-03-31,nowcast,0.9,0.4,1.5,0.7,1.1,0.59
National,2020-04-01,nowcast,0.9,0.4,1.5,0.7,1.1,0.61
National,2020-04-02,nowcast,0.9,0.3,1.4,0.7,1.1,0.65
National,2020-04-03,nowcast,0.9,0.4,1.4,0.6,1,0.67
National,2020-04-04,nowcast,0.8,0.3,1.3,0.6,1,0.71
National,2020-04-05,nowcast,0.8,0.3,1.3,0.5,0.9,0.73
National,2020-04-06,nowcast,0.8,0.3,1.4,0.5,0.9,0.75
National,2020-04-07,nowcast,0.8,0.2,1.3,0.5,0.9,0.75
